title,artist,peakPos,rank
I Love A Rainy Night,Eddie Rabbitt,1,95
Lonely Together,Barry Manilow,45,97
Seduced,Leon Redbone,72,100
The Winner Takes It All,ABBA,8,99
Treat Me Right,Pat Benatar,18,96
What Kind Of Fool,Barbra Streisand & Barry Gibb,10,93
96 Tears,Garland Jeffreys,66,100
Fade Away,Bruce Springsteen,20,97
Games,Phoebe Snow,46,98
Guitar Man,Elvis Presley,28,99
Lovers After All,Melissa Manchester & Peabo Bryson,54,94
Right Away,Hawks,63,95
All American Girls,Sister Sledge,79,100
Burn Rubber (Why You Wanna Hurt Me),The Gap Band,84,94
Don't Know Much,Bill Medley,88,92
Hold On,Badfinger,56,99
I Ain't Gonna Stand For It,Stevie Wonder,11,89
I Have The Skill,Sherbs,61,90
Running Scared,The Fools,50,95
Smoky Mountain Rain,Ronnie Milsap,24,98
Somebody Special,Rod Stewart,71,97
(Just Like) Starting Over,John Lennon,1,95
Back In Black,AC/DC,37,99
Guilty,Barbra Streisand & Barry Gibb,3,100
Together,Tierra,18,92
Too Tight,ConFunkShun,40,97
And Love Goes On,"Earth, Wind & Fire",59,94
Every Woman In The World,Air Supply,5,88
Fantastic Voyage,Lakeside,55,100
Flash's Theme Aka Flash,Queen,42,99
Heartbreak Hotel,The Jacksons,22,92
Killin' Time,Fred Knoblock & Susan Anton,28,98
Lady,Kenny Rogers,1,97
Lipstick,Suzi Quatro,51,95
Miss Sun,Boz Scaggs,14,93
Seven Bridges Road,Eagles,21,96
Staying With It,Firefall,37,74
The Rambler,Molly Hatchet,91,91
Another One Bites The Dust,Queen,1,98
"De Do Do Do, De Da Da Da",The Police,10,95
Fireflies,Fleetwood Mac,60,99
Hit Me With Your Best Shot,Pat Benatar,9,96
It's My Turn,Diana Ross,9,77
Keep This Train A-Rollin',The Doobie Brothers,62,93
Love On The Rocks,Neil Diamond,2,94
Time Is Time,Andy Gibb,15,100
Dreamer,The Association,66,94
Fly Away,Peter Allen,55,89
Fool That I Am,Rita Coolidge,46,99
Long Time Lovin' You,McGuffey Lane,85,100
More Than I Can Say,Leo Sayer,2,91
Shine On,L.T.D.,40,93
Suddenly,Olivia Newton-John & Cliff Richard,20,98
Who's Making Love,Blues Brothers,39,97
I Don't Want To Know Your Name,Glen Campbell,65,94
I Need Your Lovin',Teena Marie,37,95
Love T.K.O.,Teddy Pendergrass,44,92
Master Blaster (Jammin'),Stevie Wonder,5,97
One Step Closer,The Doobie Brothers,24,99
Skateaway,Dire Straits,58,100
Watching You,Slave,78,98
Cold Love,Donna Summer,33,76
Everybody's Got To Learn Sometime,The Korgis,18,98
My Mother's Eyes,Bette Midler,39,91
Never Be The Same,Christopher Cross,15,99
Seasons,Charles Fox,75,97
Theme From The Dukes Of Hazzard (Good Ol' Boys),Waylon,21,100
United Together,Aretha Franklin,56,92
Whip It,Devo,14,94
Woman In Love,Barbra Streisand,1,93
"Wynken, Blynken And Nod",The Doobie Brothers,76,95
Breakfast In America,Supertramp,62,95
Deep Inside My Heart,Randy Meisner,22,98
Don't Want No-Body,J.D. Drews,79,96
Fashion,David Bowie,70,99
Girls Can Get It,Dr. Hook,34,84
Gotta Have More Love,Climax Blues Band,47,94
Sequel,Harry Chapin,23,89
The Wanderer,Donna Summer,3,93
Turn And Walk Away,The Babys,42,90
Easy Love,Dionne Warwick,62,96
Got To Rock On,Kansas,76,92
Lovely One,The Jacksons,12,97
Never Knew Love Like This Before,Stephanie Mills,6,94
Stop This Game,Cheap Trick,48,100
Switchin' To Glide/This Beat Goes On,The Kings,43,99
The Horizontal Bop,Bob Seger,42,95
Upside Down,Diana Ross,1,98
Could I Be Dreaming,The Pointer Sisters,52,88
He's So Shy,The Pointer Sisters,3,74
I'm Happy That Love Has Found You,Jimmy Hall,27,99
Let Me Be Your Angel,Stacy Lattisaw,21,95
On The Road Again,Willie Nelson,20,96
Out Here On My Own,Irene Cara,19,100
Set The Night On Fire,Oak,71,75
This Time,John Cougar,27,72
Toccata,Sky (Arista),83,83
Trickle Trickle,The Manhattan Transfer,73,98
Turning Japanese,The Vapors,36,81
What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?),The Star Wars Intergalactic Droid Choir & Chorale,69,91
Without Your Love,Roger Daltrey,20,93
Dreamer,Supertramp,15,98
Morning Man,Rupert Holmes,68,95
Real Love,The Doobie Brothers,5,99
She's So Cold,The Rolling Stones,26,92
You Shook Me All Night Long,AC/DC,35,94
All Out Of Love,Air Supply,2,97
Brite Eyes,Robbin Thompson Band,66,99
If You Should Sail,Nielsen/Pearson,38,92
Look What You've Done To Me,Boz Scaggs,14,94
Texas In My Rear View Mirror,Mac Davis,51,100
That Girl Could Sing,Jackson Browne,22,98
(Hot S**t) Country Grammar,Nelly,7,37
911,Wyclef Jean Featuring Mary J. Blige,38,42
Aaron's Party (Come Get It),Aaron Carter,35,100
Again,Lenny Kravitz,48,48
Babylon,David Gray,73,73
Bad Boyz,Shyne Featuring Barrington Levy,57,88
Bag Lady,Erykah Badu,6,29
Beautiful Day,U2,40,40
Bent,matchbox twenty,1,28
Best Of Intentions,Travis Tritt,27,27
Between Me And You,Ja Rule Featuring Christina Milian,11,14
Born To Fly,Sara Evans,46,46
Bounce With Me,Lil Bow Wow Featuring Xscape,20,69
Bow Wow (That's My Name),Lil Bow Wow,82,82
Burn,Jo Dee Messina,77,77
Californication,Red Hot Chili Peppers,69,97
Can't Fight The Moonlight,LeAnn Rimes,71,79
Case Of The Ex (Whatcha Gonna Do),Mya,2,2
Come On Over Baby (All I Want Is You),Christina Aguilera,1,22
Crazy For This Girl,Evan And Jaron,33,33
Dance With Me,Debelah Morgan,13,13
Do You,Funkmaster Flex Featuring DMX,91,91
Don't Think I'm Not,Kandi,24,26
E.I.,Nelly,16,16
Emotional,Carl Thomas,63,63
Faded,SoulDecision Featuring Thrust,22,38
Feels Like Love,Vince Gill,52,52
Girls Dem Sugar,Beenie Man Featuring Mya,54,54
Give Me Just One Night (Una Noche),98 Degrees,2,67
Go On,George Strait,40,56
Gotta Tell You,Samantha Mumba,5,7
He Loves U Not,Dream,18,18
Hemorrhage (In My Hands),Fuel,53,53
Higher,Creed,7,49
How Many Licks?,Lil' Kim Featuring Sisqo,75,75
I Just Wanna Love U (Give It 2 Me),JAY-Z,19,19
I Lost It,Kenny Chesney,47,47
I Wish,R. Kelly,17,17
If I Am,Nine Days,68,68
If You're Gone,matchbox twenty,20,20
Incomplete,Sisqo,1,31
Independent Women Part I,Destiny's Child,1,1
It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent",10,10
It's My Life,Bon Jovi,33,61
"Jumpin', Jumpin'",Destiny's Child,3,30
Just Another Day In Paradise,Phil Vassar,35,35
Just Be A Man About It,Toni Braxton,32,89
Just Friends (Sunny),Musiq,44,44
Kiss This,Aaron Tippin,42,78
Kryptonite,3 Doors Down,3,4
Last Resort,Papa Roach,57,57
Liar,Profyle,14,43
Loser,3 Doors Down,55,55
Meanwhile Back At The Ranch,The Clark Family Experience,81,81
Most Girls,P!nk,4,6
Ms. Jackson,OutKast,21,21
Music,Madonna,1,11
My Baby You,Marc Anthony,70,74
My First Love,Avant Featuring KeKe Wyatt,39,39
My Love Goes On And On,Chris Cagle,76,76
My Next Thirty Years,Tim McGraw,36,36
No More,Ruff Endz,5,23
No More (Baby I'ma Do Right),3LW,60,60
Oklahoma,Billy Gilman,90,90
Open My Heart,Yolanda Adams,57,59
Original Prankster,The Offspring,71,71
Pinch Me,Barenaked Ladies,15,15
Pop Ya Collar,Usher,60,62
Rollin',Limp Bizkit,66,66
Shake Ya Ass,Mystikal,13,24
Shape Of My Heart,Backstreet Boys,9,9
She Bangs,Ricky Martin,12,12
Sleepwalker,The Wallflowers,73,96
So In Love With Two,Mikaila,65,65
South Side,Moby Featuring Gwen Stefani,94,94
Spanish Guitar,Toni Braxton,98,98
Stan,Eminem Featuring Dido,51,51
Straight Up,Chante Moore,83,83
Stronger,Britney Spears,70,70
Summer Rain,Carl Thomas,80,95
Tell Her,Lonestar,58,58
That Other Woman,Changing Faces,64,85
That's The Kind Of Mood I'm In,Patty Loveless,71,72
The Itch,Vitamin C,86,86
The Light,Common,44,93
The Little Girl,John Michael Montgomery,35,45
The Way You Love Me,Faith Hill,8,8
There You Are,Martina McBride,60,92
This I Promise You,'N Sync,5,5
We Danced,Brad Paisley,34,34
What Means The World To You,Cam'ron,83,87
What's Your Fantasy,Ludacris Featuring Shawnna,25,25
Where I Wanna Be,Damizza Presents Shade Sheist Featuring Nate Dogg & Kurupt,95,99
Who Let The Dogs Out,Baha Men,40,84
With Arms Wide Open,Creed,1,3
Without You,Dixie Chicks,41,41
www.memory,Alan Jackson,50,50
You Should've Told Me,Kelly Price,64,64
You Won't Be Lonely Now,Billy Ray Cyrus,80,80
You're A God,Vertical Horizon,23,32
Back Here,BBMak,13,49
Change Your Mind,Sister Hazel,59,98
Doesn't Really Matter,Janet,1,41
He Wasn't Man Enough,Toni Braxton,2,48
I Will...But,SHeDAISY,43,87
Treat Her Like A Lady,Joe,63,100
Wonderful,Everclear,11,45
Deep Inside Of You,Third Eye Blind,69,93
Don't Call Me Baby,Madison Avenue,88,97
Hey Papi,Jay-Z Featuring Memphis Bleek & Amil,76,94
It's Always Somethin',Joe Diffie,57,100
Souljas,Master P,98,98
Could I Have This Kiss Forever,Whitney Houston & Enrique Iglesias,52,97
Everything You Want,Vertical Horizon,1,50
I Wanna Know,Joe,4,45
The Way I Am,Eminem,58,86
Toca's Miracle,Fragma,99,99
Your Everything,Keith Urban,51,100
Callin' Me,Lil' Zane Featuring 112,21,95
It's Gonna Be Me,'N Sync,1,48
Lucky,Britney Spears,23,100
One Voice,Billy Gilman,38,97
Try Again,Aaliyah,1,43
What About Now,Lonestar,30,69
Can't Go For That,Tamia,84,97
I Think I'm In Love With You,Jessica Simpson,21,96
Let's Get Married,Jagged Edge,11,47
What'Chu Like,Da Brat Featuring Tyrese,26,68
Wifey,Next,7,35
You'll Always Be Loved By Me,Brooks & Dunn,55,98
I Will Love Again,Lara Fabian,32,96
Pull Over,Trina,93,100
Purest Of Pain (A Puro Dolor),Son By Four,26,35
Sour Girl,Stone Temple Pilots,78,98
You Sang To Me,Marc Anthony,2,44
Dance Tonight,Lucy Pearl,36,92
I Disappear,Metallica,76,95
I Hope You Dance,Lee Ann Womack,32,72
I'll Be,Reba McEntire,51,100
Simple Kind Of Life,No Doubt,38,98
Ta Da,Lil' Mo,95,99
Baby U Are,Gerald Levert,89,96
No Matter What They Say,Lil' Kim,60,97
Prayin' For Daylight,Rascal Flatts,38,77
The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2Gether,87,92
When You Need My Love,Darryl Worley,75,99
Cold Day In July,Dixie Chicks,65,91
I Think God Can Explain,Splender,62,100
The Chain Of Love,Clay Walker,40,95
West Side Story,LFO,84,96
Amazed,Lonestar,1,50
Better Off Alone,Alice Deejay,27,86
Crash And Burn,Savage Garden,24,87
I Try,Macy Gray,5,46
Imagine That,LL Cool J,98,98
Yes!,Chad Brock,22,59
3 Little Words,Nu Flavor,89,98
Couldn't Last A Moment,Collin Raye,43,89
It's So Hard,Big Punisher Featuring Donell Jones,75,100
Mirror Mirror,M2M,62,96
Say My Name,Destiny's Child,1,47
Shut Up,"Trick Daddy Featuring Duece Poppito, Trina, Co",83,97
Someday Out Of The Blue,Elton John,49,99
Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,40,91
Carlene,Phil Vassar,45,100
She's More,Andy Griggs,37,85
What I Need To Do,Kenny Chesney,56,95
Monica,Before Dark,77,100
Party Up (Up In Here),DMX,27,43
Back At One,Mark Wills,36,99
Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,51,96
Goodbye Earl,Dixie Chicks,19,98
That's What I'm Looking For,Da Brat,56,100
Whoa!,Black Rob,43,97
Another Nine Minutes,Yankee Grey,74,95
Give Me You,Mary J. Blige,68,100
I'm Outta Love,Anastacia,92,97
Love's The Only House,Martina McBride,42,90
Never Let You Go,Third Eye Blind,14,46
Nothing As It Seems,Pearl Jam,49,91
Whistle While You Twurk,Ying Yang Twins,74,99
Falls Apart,Sugar Ray,29,100
Get It On Tonite,Montell Jordan,4,42
Another Dumb Blonde,Hoku,27,100
I Belong To You,Lenny Kravitz,71,93
No Mercy,Ty Herndon,92,96
That's The Way It Is,Celine Dion,6,42
I Don't Wanna Kiss You Goodnight,LFO,61,91
I Need A Hot Girl,Hot Boys,65,100
Untitled (How Does It Feel),D'Angelo,25,94
I Learned From The Best,Whitney Houston,27,82
If You Don't Wanna Love Me,Tamar Braxton,89,93
"Ryde Or Die, Chick",The Lox Featuring Timbaland And EVE,73,97
Smile,Lonestar,39,91
Because You Love Me,Jo Dee Messina,53,93
Blue (Da Ba Dee),Eiffel 65,6,88
He Can't Love U,Jagged Edge,15,77
Love Is Blind,Eve Featuring Faith Evans,34,99
Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,1,89
Then The Morning Comes,Smash Mouth,11,48
American Pie,Madonna,29,88
Anything,JAY-Z,55,92
Can't Stay,Dave Hollister,84,98
Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",5,38
My Best Friend,Tim McGraw,29,48
No Leaf Clover,Metallica,74,95
No More Rain (In This Cloud),Angie Stone,56,100
One Night Stand,J-Shin Featuring LaTocha Scott,34,99
Stay Or Let It Go,Brian McKnight,76,93
Angels,Robbie Williams,53,95
Dear Lie,TLC,51,92
Do What You Gotta Do,Garth Brooks,69,77
Rhythm Divine,Enrique Iglesias,32,96
The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case",77,89
The Great Beyond,R.E.M.,57,91
What's My Name,DMX,67,100
24-Jul,Kevon Edmonds,10,87
Get Up,Amel Larrieux,97,97
Hanginaround,Counting Crows,28,66
If You Love Me,Mint Condition,30,96
None Of Ur Friends Business,Ginuwine,48,92
Put Your Hand In Mine,Tracy Byrd,76,99
Shake Your Bon-Bon,Ricky Martin,22,93
Still In My Heart,Tracie Spencer,88,98
Big Deal,LeAnn Rimes,23,70
Black Balloon,Goo Goo Dolls,16,53
Dancin',Guy,19,94
I Wanna Love You Forever,Jessica Simpson,3,54
Sexual (Li Da Di),Amber,42,50
Waiting For Tonight,Jennifer Lopez,8,74
When I Said I Do,Clint Black,31,84
Breathe And Stop,Q-Tip,71,96
Caught Out There,Kelis,54,90
Deep Inside,Mary J. Blige,63,94
Smoke Rings In The Dark,Gary Allan,76,92
Stay The Night,IMx,23,78
You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,35,89
(You Drive Me) Crazy,Britney Spears,10,99
All Things Considered,Yankee Grey,55,88
Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne,19,37
Steal My Sunshine,Len,9,39
Unpretty,TLC,1,36
Auld Lang Syne,Kenny G,7,66
Bling Bling,"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",36,82
Larger Than Life,Backstreet Boys,25,94
Mambo No. 5 (A Little Bit Of...),Lou Bega,3,42
Music Of My Heart,'N Sync & Gloria Estefan,2,98
Notorious B.I.G.,The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,82,91
The Rockafeller Skank,Fatboy Slim,76,95
There She Goes,Sixpence None The Richer,32,79
We Can't Be Friends,Deborah Cox With R.L.,8,97
Will 2K,Will Smith Featuring K-Ci,25,100
15 Minutes,Marc Nelson,27,78
A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,75,92
Get Gone,Ideal,13,44
Give You What You Want (Fa Sure),Chico DeBarge,71,94
Heartbreaker,Mariah Carey Featuring Jay-Z,1,61
The Greatest Romance Ever Sold,Prince,63,99
This Gift,98 Degrees,49,79
Come On Over,Shania Twain,58,81
I Want It All,Warren G Featuring Mack 10,23,93
She's So High,Tal Bachman,14,49
Something Like That,Tim McGraw,28,65
Genie In A Bottle,Christina Aguilera,1,45
I Do (Cherish You),98 Degrees,13,56
If I Could Turn Back The Hands Of Time,R. Kelly,12,96
Scar Tissue,Red Hot Chili Peppers,9,47
She's All I Ever Had,Ricky Martin,2,74
The Dolphin's Cry,Live,78,93
What Do You Say To That,George Strait,45,95
Angels Would Fall,Melissa Etheridge,51,89
Cowboy,Kid Rock,82,95
So Anxious,Ginuwine,16,92
Spend My Life With You,Eric Benet Featuring Tamia,21,50
Step To This,Master P Featuring D.I.G.,88,98
U Don't Know Me (Like U Used To),Brandy,79,100
Vivrant Thing,Q-Tip,26,55
What's My Age Again?,Blink-182,58,90
Bailamos,Enrique Iglesias,1,65
Girls' Best Friend,JAY-Z,52,98
I Want It That Way,Backstreet Boys,6,39
Man! I Feel Like A Woman!,Shania Twain,23,31
Never Gonna Let You Go,Faith Evans,17,100
Ready To Run,Dixie Chicks,39,97
Simon Says,Pharoahe Monch,97,99
You Had Me From Hello,Kenny Chesney,34,93
Lightning Does The Work,Chad Brock,86,93
Lost In You,Garth Brooks as Chris Gaines,5,91
Meeting In My Bedroom,Silk,62,100
Out Of My Head,Fastball,20,66
She's In Love,Mark Wills,60,96
What Ya Want,EVE & Nokio,29,99
You'll Be In My Heart,Phil Collins,21,95
"Bills, Bills, Bills",Destiny's Child,1,61
If You Had My Love,Jennifer Lopez,1,50
Little Man,Alan Jackson,39,94
Missing You,Brooks & Dunn,75,89
Wanna Be A Baller,"Lil' Troy Featuring Yungsta, Fat Pat, Lil' Will, Hawk, Big T",70,92
All N My Grill,"Missy ""Misdemeanor"" Elliott Featuring Big Boi & Nicole",64,93
All That I Can Say,Mary J. Blige,44,95
Hey Leonardo (She Likes Me For Me),Blessid Union Of Souls,33,68
I'll Still Love You More,Trisha Yearwood,65,90
Jamboree,Naughty By Nature Featuring Zhane,10,91
The Secret Of Life,Faith Hill,46,97
(Now You See Me) Now You Don't,Lee Ann Womack,72,93
Beautiful Stranger,Madonna,19,99
Everyone Falls In Love,Tanto Metro & Devonte,88,95
Everything Is Everything,Lauryn Hill,35,98
Happily Ever After,Case,15,90
I'll Be Your Everything,Youngstown,71,94
Last Kiss,Pearl Jam,2,46
Lesson In Leavin',Jo Dee Messina,28,55
Smile,Vitamin C Featuring Lady Saw,18,97
A Night To Remember,Joe Diffie,38,89
Fortunate,Maxwell,4,37
Single White Female,Chely Wright,36,54
Bliss,Tori Amos,91,100
I Will Go With You (Con Te Partiro),Donna Summer,79,99
It's Not Right But It's Okay,Whitney Houston,4,41
Kiss Me,Sixpence None The Richer,2,48
Little Good-Byes,SHeDAISY,43,84
808,Blaque,8,58
Almost Home,Mary Chapin Carpenter,85,94
Livin' La Vida Loca,Ricky Martin,1,55
No Scrubs,TLC,1,46
Tonight The Heartache's On Me,Dixie Chicks,46,100
Better Than Me,Terry Dexter,99,99
Crazy Little Thing Called Love,Dwight Yoakam,64,100
It's Your Thing,Mercedes Featuring Master P,96,96
Players Holiday,T.W.D.Y. Featuring Too Short & Mac Mall,90,92
Rollercoaster,B*Witched,67,95
You Are Everything,Dru Hill,84,98
Give It To You,Jordan Knight,10,91
Holla Holla,Ja Rule,35,63
Please Remember Me,Tim McGraw,10,66
That Don't Impress Me Much,Shania Twain,7,35
Two Teardrops,Steve Wariner,30,98
My Favorite Girl,Dave Hollister,39,98
One Honest Heart,Reba,54,82
Slave To The Habit,Shane Minor,82,100
Slide,Goo Goo Dolls,8,44
What It's Like,Everlast,13,47
Anyone Else,Collin Raye,37,89
If You (Lovin' Me),Silk,13,73
Nann,Trick Daddy Featuring Trina,62,90
Praise You,Fatboy Slim,36,87
What's It Gonna Be?!,Busta Rhymes Featuring Janet,3,93
Believe,Cher,1,41
Heavy,Collective Soul,73,96
She's Always Right,Clay Walker,74,85
Why Don't You Get A Job?,The Offspring,74,100
Wish You Were Here,Mark Wills,34,81
...Baby One More Time,Britney Spears,1,49
Angel Of Mine,Monica,1,43
How Forever Feels,Kenny Chesney,27,72
It's Over Now,Deborah Cox,70,97
Millennium,Robbie Williams,72,77
She's A Bitch,"Missy ""Misdemeanor"" Elliott",90,96
We Like To Party!,Vengaboys,26,79
What's So Different,Ginuwine,49,93
All I Have To Give,Backstreet Boys,5,50
Georgy Porgy,Eric Benet Featuring Faith Evans,55,99
Hands Of A Working Man,Ty Herndon,47,98
I Still Believe,Mariah Carey,4,79
My First Night With You,Mya,28,91
Special,Garbage,52,89
What'd You Come Here For?,Trina & Tamara,56,92
C'est La Vie,B*Witched,9,89
Crush,Dave Matthews Band,75,99
Drive Me Wild,Sawyer Brown,44,94
One More Try,Divine,29,100
Stay The Same,Joey McIntyre,10,97
When I Close My Eyes,Shanice,12,95
Down So Long,Jewel,59,67
Everytime I Cry,Terri Clark,69,93
Get Involved,Raphael Saadiq & Q-Tip,67,89
Girlfriend/Boyfriend,BLACKstreet With Janet,47,100
Harmless,Mulberry Lane,99,99
Jigga What...,Jay-Z Featuring Big Jaz,84,84
Busy Man,Billy Ray Cyrus,46,93
I'm Leaving,Aaron Tippin,87,87
I'm Not Ready,Keith Sweat,16,89
Maria,Blondie,82,94
The Animal Song,Savage Garden,19,92
Written In The Stars,Elton John & LeAnn Rimes,29,91
You Got Me,The Roots Featuring Erykah Badu,39,100
Hard Knock Life (Ghetto Anthem),JAY-Z,15,33
I Can't Get Over You,Brooks & Dunn,51,94
Love Ain't Like That,Faith Hill,68,87
Miami,Will Smith,17,43
Slam Dunk,Five,86,86
Stand Beside Me,Jo Dee Messina,34,76
Jumper,Third Eye Blind,5,46
No Place That Far,Sara Evans,37,98
Nobody's Supposed To Be Here,Deborah Cox,2,43
Taking Everything,Gerald Levert,11,96
Woof,Snoop Dogg Featuring Mystikal And Fiend,62,89
Father Of Mine,Everclear,70,93
How Do I Deal,Jennifer Love Hewitt,59,96
Keepin' Up,Alabama,69,73
Love Like This,Faith Evans,7,83
Never There,Cake,78,98
Rosa Parks,OutKast,55,100
Sweetest Thing,U2,63,95
Take Me There,BLACKstreet & Mya Featuring Mase & Blinky Blink,14,99
When You Believe,Whitney Houston & Mariah Carey,15,65
Fly (The Angel Song),The Wilkinsons,53,93
Hands,Jewel,6,46
Home Alone,R. Kelly Featuring Keith Murray,65,97
Pretty Fly (For A White Guy),The Offspring,53,87
Somebody's Out There Watching,The Kinleys,64,64
Trippin',Total Featuring Missy Elliott,7,91
For A Little While,Tim McGraw,37,91
I Will Get There,Boyz II Men,32,95
It's All Been Done,Barenaked Ladies,44,89
Lately,Divine,1,49
Malibu,Hole,81,88
Unsent,Alanis Morissette,58,94
Hot Spot,Foxy Brown,91,97
If You Could Read My Mind,"Stars On 54: Ultra Nate, Amber, Jocelyn Enriquez",52,99
Talk Show Shhh!,Shae Jones,88,96
You're Beginning To Get To Me,Clay Walker,39,100
